ticker;Date;sector;signal1
MLM;11/1/11;Materials;1
MLM;8/4/15;Materials;-1
MLM;2/7/12;Materials;1
MLM;4/30/15;Materials;-1
MLM;5/1/12;Materials;-1
MLM;2/12/13;Materials;-1
MLM;7/31/12;Materials;-1
MLM;6/1/10;Materials;1
MLM;7/30/13;Materials;-1
MLM;11/6/12;Materials;1
MLM;9/1/10;Materials;-1
MLM;5/5/16;Materials;1
MLM;2/9/16;Materials;-1
MLM;7/29/14;Materials;1
MLM;3/1/11;Materials;-1
MLM;6/1/11;Materials;-1
MLM;11/7/13;Materials;1
MLM;3/1/10;Materials;-1
MLM;12/1/10;Materials;1
MLM;2/10/15;Materials;1
MLM;1/28/14;Materials;1
MLM;11/3/15;Materials;-1
MLM;8/2/16;Materials;-1
MLM;10/28/14;Materials;-1
MLM;4/29/14;Materials;-1
MLM;4/30/13;Materials;-1
TXI;1/9/14;Materials;-1
TXI;4/3/14;Materials;1
TXI;1/5/12;Materials;-1
TXI;11/1/10;Materials;1
TXI;9/27/12;Materials;-1
TXI;2/1/10;Materials;-1
TXI;8/2/10;Materials;1
TXI;8/1/11;Materials;-1
TXI;7/12/12;Materials;1
TXI;5/2/11;Materials;-1
TXI;2/1/11;Materials;1
TXI;10/3/13;Materials;-1
TXI;1/10/13;Materials;-1
TXI;3/29/12;Materials;-1
TXI;3/28/13;Materials;1
TXI;5/3/10;Materials;-1
TXI;7/11/13;Materials;1
VMC;5/6/14;Materials;1
VMC;8/5/14;Materials;-1
VMC;2/4/16;Materials;1
VMC;2/2/12;Materials;1
VMC;11/4/13;Materials;1
VMC;2/5/15;Materials;1
VMC;5/5/15;Materials;-1
VMC;8/1/16;Materials;-1
VMC;11/8/12;Materials;-1
VMC;11/3/15;Materials;-1
VMC;8/4/15;Materials;1
VMC;7/27/12;Materials;-1
VMC;2/14/13;Materials;-1
VMC;4/27/12;Materials;1
VMC;2/6/14;Materials;1
VMC;4/25/13;Materials;-1
VMC;5/3/16;Materials;1
VMC;8/1/13;Materials;1
VMC;11/4/14;Materials;1
EXP;5/15/14;Materials;-1
EXP;7/27/10;Materials;1
EXP;5/15/15;Materials;-1
EXP;7/26/11;Materials;-1
EXP;10/29/12;Materials;1
EXP;8/4/15;Materials;-1
EXP;1/26/10;Materials;-1
EXP;2/4/15;Materials;1
EXP;5/18/11;Materials;-1
EXP;8/2/12;Materials;-1
EXP;10/28/15;Materials;-1
EXP;11/17/10;Materials;-1
EXP;5/19/10;Materials;1
EXP;8/8/13;Materials;-1
